globalsum1 = 130 
Time consumed :0.005553
Time consumed :0.005385
Time consumed :0.005156
Time consumed :0.005363
Time consumed :0.005744
Time consumed :0.006034
Time consumed :0.006098
Time consumed :0.005698
Time consumed :0.005681
Time consumed :0.006124
Time consumed :0.006142
Time consumed :0.006825
Time consumed :0.007773
Time consumed :0.008138

