globalsum1 = 140 
Time consumed :0.005474
Time consumed :0.006050
Time consumed :0.006547
Time consumed :0.006753
Time consumed :0.006721
Time consumed :0.006786
Time consumed :0.006903
Time consumed :0.006746
Time consumed :0.007088
Time consumed :0.007154
Time consumed :0.008144
Time consumed :0.009037
Time consumed :0.009388
Time consumed :0.010312
Time consumed :0.010443
