globalsum1 = 150 
Time consumed :0.005760
Time consumed :0.005619
Time consumed :0.005724
Time consumed :0.005197
Time consumed :0.005723
Time consumed :0.005108
Time consumed :0.005210
Time consumed :0.005819
Time consumed :0.005297
Time consumed :0.006376
Time consumed :0.005927
Time consumed :0.008095
Time consumed :0.007848
Time consumed :0.008535
Time consumed :0.009125
Time consumed :0.009525

