globalsum1 = 110 
Time consumed :0.005417
Time consumed :0.005783
Time consumed :0.005473
Time consumed :0.005036
Time consumed :0.005434
Time consumed :0.005610
Time consumed :0.005941
Time consumed :0.005805
Time consumed :0.005980
Time consumed :0.005949
Time consumed :0.006280
Time consumed :0.007034

